id,name,manufacturer,pack,weight,height,width,length,cost
1336,Medium Generic Blue Paperclips by WizBang,WizBang,270,1296,1.5,0.9,1.2,50.77
1337,Generic Small Brown Thumbtacks by Deep Office Supplies,Deep Office Supplies,460,2208,1.5,0.9,1.2,84.34
1338,Duck Lake Blue Large Generic Paperclips,Duck Lake,310,1984,2,1.2,1.6,69.68
1339,Tiny Generic Pink Paperclips,6% Solution,1000,1600,0.5,0.3,0.4,193.94
1340,Pink High Quality Medium Pencils by Deep Office Supplies,Deep Office Supplies,500,4000,2.5,1.5,2,208.36
1341,Tiny Generic Red Paperclips,6% Solution,940,1504,0.5,0.3,0.4,8.06
1342,Duck Lake White Medium High Quality Paperclips,Duck Lake,620,2976,1.5,0.9,1.2,183.1
1343,Small Black Paperweights by WizBang,WizBang,8,89.6,3.5,2.1,2.8,28.73
1344,Small Generic Green Post It Notes,6% Solution,97,155.2,0.5,0.3,0.4,11.05
1345,High Quality Large Blue Paperweights,Offices-R-Us,6,86.4,4.5,2.7,3.6,22.82
1346,Red Generic Tiny Paperclips,6% Solution,230,368,0.5,0.3,0.4,2.85
1347,Small Black Tablets by Deep Office Supplies,Deep Office Supplies,230,2208,3,1.8,2.4,208.18
1348,Tiny Generic Green Ink Pens by WizBang,WizBang,900,5760,2,1.2,1.6,185.9
1349,Pink Generic Medium Thumbtacks by WizBang,WizBang,120,768,2,1.2,1.6,54.66
1350,Medium High Quality Pink Paperweights,Offices-R-Us,10,128,4,2.4,3.2,37.98
1351,Tiny Brown High Quality Paperclips by Deep Office Supplies,Deep Office Supplies,920,1472,0.5,0.3,0.4,124.8
1352,Tiny Generic Pencils by Deep Office Supplies,Deep Office Supplies,110,528,1.5,0.9,1.2,17.54
1353,Duck Lake Tiny Black Generic Thumbtacks,Duck Lake,210,672,1,0.6,0.8,46.3
1354,High Quality Pink Post It Notes,Offices-R-Us,91,436.8,1.5,0.9,1.2,50.45
1355,High Quality Blue Large Ink Pens,Offices-R-Us,470,5264,3.5,2.1,2.8,207.22
1356,Duck Lake Generic Tiny Black Post It Notes,Duck Lake,74,118.4,0.5,0.3,0.4,17.28
1357,Tiny High Quality Tablets by WizBang,WizBang,960,7680,2.5,1.5,2,476.47
1358,High Quality Small Pink Pencils by WizBang,WizBang,280,1792,2,1.2,1.6,122.33
1359,Duck Lake Medium High Quality Green Paperclips,Duck Lake,510,2448,1.5,0.9,1.2,82.04
1360,Large Generic Black Post It Notes,Offices-R-Us,3,14.4,1.5,0.9,1.2,1.9
1361,Tiny Pink Pencils by WizBang,WizBang,900,4320,1.5,0.9,1.2,230.47
1362,Duck Lake White High Quality Large Ink Pens,Duck Lake,530,5936,3.5,2.1,2.8,285.64
1363,Tiny High Quality Brown Thumbtacks,6% Solution,820,2624,1,0.6,0.8,127.87
1364,Small Brown Stapler by WizBang,WizBang,6,76.8,4,2.4,3.2,56.47
1365,Medium Generic Brown Tablets,6% Solution,580,6496,3.5,2.1,2.8,418.54
1366,Duck Lake Medium High Quality Stapler,Duck Lake,7,100.8,4.5,2.7,3.6,65.77
1367,Generic Green Tablets,6% Solution,390,3120,2.5,1.5,2,249.22
1368,High Quality Small Brown Ink Pens,6% Solution,910,7280,2.5,1.5,2,303.31
1369,High Quality Tiny Blue Thumbtacks by WizBang,WizBang,520,1664,1,0.6,0.8,72.83
1370,Green Tiny Generic Paperclips by WizBang,WizBang,210,336,0.5,0.3,0.4,12.43
1371,Duck Lake Generic Large Paperclips,Duck Lake,310,1984,2,1.2,1.6,69.68
1372,Blue Medium Post It Notes,6% Solution,34,108.8,1,0.6,0.8,9.02
1373,Red Small High Quality Stapler by Deep Office Supplies,Deep Office Supplies,9,115.2,4,2.4,3.2,78.42
1374,Duck Lake Generic Black Medium Tablets,Duck Lake,940,10528,3.5,2.1,2.8,617.92
1375,Duck Lake Blue High Quality Small Tablets,Duck Lake,800,7680,3,1.8,2.4,499.73
1376,Generic Green Tablets,Offices-R-Us,560,7168,4,2.4,3.2,387.44
1377,Duck Lake High Quality Medium Black Thumbtacks,Duck Lake,390,2496,2,1.2,1.6,121.75
1378,Duck Lake Small Generic Pink Post It Notes,Duck Lake,57,91.2,0.5,0.3,0.4,24.11
1379,High Quality Red Small Paperweights by WizBang,WizBang,5,56,3.5,2.1,2.8,17.76
1380,Brown Generic Large Ink Pens,Offices-R-Us,220,2464,3.5,2.1,2.8,116.13
1381,Generic Pink Pencils by WizBang,WizBang,860,4128,1.5,0.9,1.2,223.36
1382,Red Generic Large Thumbtacks by WizBang,WizBang,390,3120,2.5,1.5,2,58.82
1383,Black Medium High Quality Ink Pens,6% Solution,130,1248,3,1.8,2.4,83.13
1384,White High Quality Tiny Paperweights,6% Solution,1,9.6,3,1.8,2.4,4.63
1385,Tiny Green Generic Paperweights by WizBang,WizBang,3,28.8,3,1.8,2.4,11.04
1386,Small Red Pencils,6% Solution,990,6336,2,1.2,1.6,92.4
1387,High Quality Brown Stapler by Deep Office Supplies,Deep Office Supplies,5,64,4,2.4,3.2,48.1
1388,High Quality Pink Small Paperclips,Offices-R-Us,750,2400,1,0.6,0.8,209.69
1389,Generic Large Black Tablets by Deep Office Supplies,Deep Office Supplies,370,4736,4,2.4,3.2,330.24
1390,High Quality Brown Large Post It Notes by Deep Office Supplies,Deep Office Supplies,74,355.2,1.5,0.9,1.2,29.93
1391,Duck Lake Large Generic Paperclips,Duck Lake,150,960,2,1.2,1.6,61.91
1392,Small Green Generic Ink Pens,Offices-R-Us,500,4000,2.5,1.5,2,141.19
1393,Blue High Quality Thumbtacks by WizBang,WizBang,110,528,1.5,0.9,1.2,27.63
1394,Duck Lake High Quality Tiny Red Tablets,Duck Lake,990,7920,2.5,1.5,2,486.53
1395,White High Quality Tiny Tablets,Offices-R-Us,550,4400,2.5,1.5,2,422.98
1396,Large High Quality Black Post It Notes by Deep Office Supplies,Deep Office Supplies,36,172.8,1.5,0.9,1.2,18.71
1397,High Quality Blue Tiny Paperweights by WizBang,WizBang,8,76.8,3,1.8,2.4,27.46
1398,High Quality Small Green Paperweights,6% Solution,8,89.6,3.5,2.1,2.8,27.46
1399,Large High Quality Brown Post It Notes,6% Solution,26,124.8,1.5,0.9,1.2,12.45
1400,Duck Lake Red High Quality Large Post It Notes,Duck Lake,16,76.8,1.5,0.9,1.2,4.74
1401,Large Brown Tablets by WizBang,WizBang,730,9344,4,2.4,3.2,543.21
1402,White High Quality Thumbtacks,Offices-R-Us,580,4640,2.5,1.5,2,205.44
1403,Green Small Generic Post It Notes by WizBang,WizBang,91,145.6,0.5,0.3,0.4,10.49
1404,Duck Lake Large Green High Quality Ink Pens,Duck Lake,880,9856,3.5,2.1,2.8,296.4
1405,Large Green Paperclips by WizBang,WizBang,640,4096,2,1.2,1.6,96.74
1406,Green High Quality Tiny Stapler,6% Solution,4,44.8,3.5,2.1,2.8,38.47
1407,Duck Lake Generic Green Tiny Pencils,Duck Lake,160,768,1.5,0.9,1.2,23.71
1408,Duck Lake Generic Large Tablets,Duck Lake,190,2432,4,2.4,3.2,197.24
1409,Generic Medium Blue Stapler,6% Solution,5,72,4.5,2.7,3.6,47.68
1410,Duck Lake Pink High Quality Paperclips,Duck Lake,270,432,0.5,0.3,0.4,86.42
1411,Duck Lake Blue Medium Generic Post It Notes,Duck Lake,92,294.4,1,0.6,0.8,20.66
1412,Green Generic Tiny Pencils,6% Solution,670,3216,1.5,0.9,1.2,70.4
1413,Tiny Green Post It Notes by WizBang,WizBang,93,148.8,0.5,0.3,0.4,10.68
1414,Brown Large Stapler by Deep Office Supplies,Deep Office Supplies,1,16,5,3,4,11.57
1415,Duck Lake Pink High Quality Tiny Pencils,Duck Lake,540,2592,1.5,0.9,1.2,180.4
1416,Pink Small High Quality Pencils,6% Solution,730,4672,2,1.2,1.6,248.92
1417,Large Generic Blue Stapler by Deep Office Supplies,Deep Office Supplies,10,160,5,3,4,88.26
1418,Small Brown Generic Paperweights by WizBang,WizBang,3,33.6,3.5,2.1,2.8,11.84
1419,Black High Quality Large Thumbtacks,Offices-R-Us,680,5440,2.5,1.5,2,206.67
1420,Duck Lake Small High Quality Pencils,Duck Lake,160,1024,2,1.2,1.6,31.59
1421,Generic Black Medium Pencils,Offices-R-Us,440,3520,2.5,1.5,2,137.89
1422,Tiny Generic Stapler,6% Solution,1,11.2,3.5,2.1,2.8,11.07
1423,Duck Lake Generic Medium Post It Notes,Duck Lake,17,54.4,1,0.6,0.8,7.43
1424,Blue Generic Medium Pencils,6% Solution,830,6640,2.5,1.5,2,163.51
1425,Tiny High Quality White Post It Notes,6% Solution,23,36.8,0.5,0.3,0.4,9.63
1426,Tiny Generic Tablets,6% Solution,190,1520,2.5,1.5,2,188.21
1427,Generic Green Tablets by Deep Office Supplies,Deep Office Supplies,990,11088,3.5,2.1,2.8,547.96
1428,Tiny Green Generic Post It Notes by WizBang,WizBang,60,96,0.5,0.3,0.4,3.9
1429,High Quality Red Stapler by WizBang,WizBang,6,86.4,4.5,2.7,3.6,55.49
1430,High Quality Large Pink Tablets,Offices-R-Us,570,7296,4,2.4,3.2,517.44
1431,Large High Quality Pink Post It Notes by WizBang,WizBang,1,4.8,1.5,0.9,1.2,1.01
1432,Duck Lake Generic Black Medium Paperclips,Duck Lake,860,4128,1.5,0.9,1.2,174.92
1433,High Quality Tiny Blue Stapler by WizBang,WizBang,10,112,3.5,2.1,2.8,86.72
1434,Blue Generic Tiny Paperclips,6% Solution,830,1328,0.5,0.3,0.4,61.82
1435,High Quality Black Post It Notes by Deep Office Supplies,Deep Office Supplies,47,225.6,1.5,0.9,1.2,23.41
1436,Duck Lake High Quality Tiny Green Thumbtacks,Duck Lake,430,1376,1,0.6,0.8,46.36
1437,White Small Generic Ink Pens,6% Solution,410,3280,2.5,1.5,2,187.18
1438,Brown Generic Small Paperweights,Offices-R-Us,3,33.6,3.5,2.1,2.8,11.84
1439,Tiny Pink High Quality Post It Notes,Offices-R-Us,51,81.6,0.5,0.3,0.4,21.97
1440,Duck Lake Small Generic Black Ink Pens,Duck Lake,630,5040,2.5,1.5,2,234.22
1441,High Quality Green Tiny Pencils,6% Solution,330,1584,1.5,0.9,1.2,55.57
1442,Tiny Green High Quality Thumbtacks,6% Solution,460,1472,1,0.6,0.8,48.74
1443,Duck Lake Red Medium Generic Ink Pens,Duck Lake,520,4992,3,1.8,2.4,145.32
1444,High Quality Red Large Pencils,Offices-R-Us,910,8736,3,1.8,2.4,174.23
1445,Tiny High Quality Green Post It Notes by Deep Office Supplies,Deep Office Supplies,86,137.6,0.5,0.3,0.4,10.02
1446,Duck Lake High Quality Red Tiny Post It Notes,Duck Lake,20,32,0.5,0.3,0.4,1.54
1447,Duck Lake Red Medium Generic Ink Pens,Duck Lake,720,6912,3,1.8,2.4,183.73
1448,Green Small Generic Pencils by WizBang,WizBang,570,3648,2,1.2,1.6,83.5
1449,Blue Generic Tiny Tablets,6% Solution,880,7040,2.5,1.5,2,477.23
1450,Generic Tiny Pink Paperclips,6% Solution,550,880,0.5,0.3,0.4,127.29
1451,Blue Generic Small Tablets,6% Solution,350,3360,3,1.8,2.4,258.65
1452,Duck Lake Generic Small White Stapler,Duck Lake,4,51.2,4,2.4,3.2,39.85
1453,Duck Lake Brown Medium Pencils,Duck Lake,780,6240,2.5,1.5,2,182.63
1454,Generic Tiny Brown Tablets,6% Solution,510,4080,2.5,1.5,2,342.63
1455,High Quality Large Thumbtacks,6% Solution,880,7040,2.5,1.5,2,134.28
1456,Pink Small Ink Pens by WizBang,WizBang,240,1920,2.5,1.5,2,145.99
1457,Brown High Quality Large Stapler,6% Solution,7,112,5,3,4,65.77
1458,Blue Large Post It Notes by Deep Office Supplies,Deep Office Supplies,77,369.6,1.5,0.9,1.2,22.21
1459,High Quality Small Pink Pencils by Deep Office Supplies,Deep Office Supplies,470,3008,2,1.2,1.6,180.98
1460,Red Medium Stapler,6% Solution,7,100.8,4.5,2.7,3.6,63.52
1461,Duck Lake High Quality Blue Small Thumbtacks,Duck Lake,1000,4800,1.5,0.9,1.2,146.54
1462,Large Generic Brown Tablets by Deep Office Supplies,Deep Office Supplies,400,5120,4,2.4,3.2,334.17
1463,White Medium High Quality Thumbtacks,Offices-R-Us,180,1152,2,1.2,1.6,75.61
1464,Pink Tiny High Quality Post It Notes,6% Solution,97,155.2,0.5,0.3,0.4,37.36
1465,Red Tiny Generic Thumbtacks,6% Solution,460,1472,1,0.6,0.8,13.15
1466,Pink Tiny Generic Post It Notes,Offices-R-Us,98,156.8,0.5,0.3,0.4,32.37
1467,Tiny Brown High Quality Ink Pens,Offices-R-Us,560,3584,2,1.2,1.6,194.53
1468,Large Green Generic Post It Notes by Deep Office Supplies,Deep Office Supplies,13,62.4,1.5,0.9,1.2,3.96
1469,Generic Large Blue Tablets by WizBang,WizBang,240,3072,4,2.4,3.2,215.21
1470,Pink High Quality Small Paperclips by WizBang,WizBang,830,2656,1,0.6,0.8,225.09
1471,Generic Large Stapler,Offices-R-Us,9,144,5,3,4,81.93
1472,High Quality Medium Pencils,6% Solution,350,2800,2.5,1.5,2,101.6
1473,Green Small Paperweights,Offices-R-Us,6,67.2,3.5,2.1,2.8,20.85
1474,Tiny High Quality White Paperclips,Offices-R-Us,850,1360,0.5,0.3,0.4,173.51
1475,Duck Lake Medium Brown Generic Post It Notes,Duck Lake,93,297.6,1,0.6,0.8,25.93
1476,Duck Lake White High Quality Large Tablets,Duck Lake,120,1536,4,2.4,3.2,149.13
1477,Tiny High Quality White Paperclips by Deep Office Supplies,Deep Office Supplies,170,272,0.5,0.3,0.4,51.86
1478,High Quality White Large Pencils,Offices-R-Us,920,8832,3,1.8,2.4,321.62
1479,Tiny Red High Quality Ink Pens,Offices-R-Us,400,2560,2,1.2,1.6,103.58
1480,Red Generic Tiny Tablets,Offices-R-Us,870,6960,2.5,1.5,2,417.25
1481,Generic Medium Ink Pens,Offices-R-Us,460,4416,3,1.8,2.4,221.74
1482,Pink Medium Generic Post It Notes,Offices-R-Us,42,134.4,1,0.6,0.8,21.3
1483,High Quality Blue Small Stapler by WizBang,WizBang,2,25.6,4,2.4,3.2,21.16
1484,Tiny High Quality Stapler by Deep Office Supplies,Deep Office Supplies,6,67.2,3.5,2.1,2.8,54.5
1485,Duck Lake High Quality Tiny Stapler,Duck Lake,4,44.8,3.5,2.1,2.8,38.82
1486,Generic Large Paperclips by Deep Office Supplies,Deep Office Supplies,660,4224,2,1.2,1.6,168.35
1487,Generic Red Small Post It Notes,6% Solution,67,107.2,0.5,0.3,0.4,4.27
1488,Pink High Quality Medium Ink Pens,Offices-R-Us,290,2784,3,1.8,2.4,181.58
1489,Brown Large Generic Pencils by Deep Office Supplies,Deep Office Supplies,260,2496,3,1.8,2.4,92.44
1490,Generic Black Small Paperweights,Offices-R-Us,5,56,3.5,2.1,2.8,19.02
1491,High Quality Black Large Ink Pens by Deep Office Supplies,Deep Office Supplies,740,8288,3.5,2.1,2.8,337.99
1492,Duck Lake Large Brown High Quality Tablets,Duck Lake,310,3968,4,2.4,3.2,288.67
1493,Small Generic Black Ink Pens,Offices-R-Us,490,3920,2.5,1.5,2,195.05
1494,Large Generic Paperclips by WizBang,WizBang,570,3648,2,1.2,1.6,151.47
1495,Duck Lake Small Red Generic Ink Pens,Duck Lake,710,5680,2.5,1.5,2,157.53
1496,Duck Lake Large Red Generic Post It Notes,Duck Lake,39,187.2,1.5,0.9,1.2,7.66
1497,Tiny Black Generic Pencils by WizBang,WizBang,460,2208,1.5,0.9,1.2,106.93
1498,Black Generic Tiny Paperweights,Offices-R-Us,3,28.8,3,1.8,2.4,11.84
1499,Tiny High Quality Brown Stapler,6% Solution,5,56,3.5,2.1,2.8,47.68
1500,High Quality Large Red Tablets,Offices-R-Us,360,4608,4,2.4,3.2,279.04
1501,Tiny Red Post It Notes by Deep Office Supplies,Deep Office Supplies,16,25.6,0.5,0.3,0.4,1.27
1502,Red High Quality Large Tablets by Deep Office Supplies,Deep Office Supplies,690,8832,4,2.4,3.2,450.25
1503,Small Generic Ink Pens,Offices-R-Us,600,4800,2.5,1.5,2,182.89
1504,Small High Quality Black Pencils,Offices-R-Us,290,1856,2,1.2,1.6,100.57
1505,Medium High Quality White Post It Notes by Deep Office Supplies,Deep Office Supplies,5,16,1,0.6,0.8,3.4
1506,Duck Lake Small Green Generic Ink Pens,Duck Lake,340,2720,2.5,1.5,2,105.79
1507,High Quality Black Tiny Ink Pens,Offices-R-Us,820,5248,2,1.2,1.6,282.24
1508,High Quality Small Blue Paperclips by Deep Office Supplies,Deep Office Supplies,560,1792,1,0.6,0.8,87.84
1509,Large Generic White Paperclips,Offices-R-Us,370,2368,2,1.2,1.6,125.07
1510,Large High Quality Stapler,6% Solution,1,16,5,3,4,11.47
1511,Duck Lake Tiny Red Generic Paperclips,Duck Lake,550,880,0.5,0.3,0.4,5.52
1512,White Medium High Quality Pencils by WizBang,WizBang,620,4960,2.5,1.5,2,221.55
1513,Large High Quality Green Thumbtacks,6% Solution,470,3760,2.5,1.5,2,103.77
1514,Black Small Generic Ink Pens by Deep Office Supplies,Deep Office Supplies,160,1280,2.5,1.5,2,82.42
1515,Medium High Quality White Stapler,Offices-R-Us,3,43.2,4.5,2.7,3.6,31.42
1516,Pink Small Generic Paperclips,6% Solution,670,2144,1,0.6,0.8,170.17
1517,High Quality Brown Tiny Ink Pens by WizBang,WizBang,210,1344,2,1.2,1.6,92.43
1518,Duck Lake Tiny Brown Generic Tablets,Duck Lake,810,6480,2.5,1.5,2,477.33
1519,Duck Lake Blue Generic Small Ink Pens,Duck Lake,610,4880,2.5,1.5,2,185.08
1520,Large Generic Blue Paperclips by Deep Office Supplies,Deep Office Supplies,430,2752,2,1.2,1.6,89.23
1521,Medium Black High Quality Stapler by Deep Office Supplies,Deep Office Supplies,2,28.8,4.5,2.7,3.6,21.72
1522,Duck Lake High Quality Pink Small Stapler,Duck Lake,7,89.6,4,2.4,3.2,66.34
1523,Duck Lake White Small High Quality Stapler,Duck Lake,7,89.6,4,2.4,3.2,65.77
1524,White Small High Quality Paperclips by Deep Office Supplies,Deep Office Supplies,340,1088,1,0.6,0.8,103.13
1525,Tiny Red High Quality Post It Notes by WizBang,WizBang,20,32,0.5,0.3,0.4,1.54
1526,Duck Lake High Quality White Large Pencils,Duck Lake,460,4416,3,1.8,2.4,195.91
1527,Medium Blue High Quality Thumbtacks,6% Solution,790,5056,2,1.2,1.6,150.88
1528,White Generic Large Stapler,6% Solution,4,64,5,3,4,40.54
1529,Generic Small Paperweights by WizBang,WizBang,6,67.2,3.5,2.1,2.8,22.33
1530,High Quality Black Pencils by WizBang,WizBang,140,1120,2.5,1.5,2,63.8
1531,Generic White Tiny Ink Pens by WizBang,WizBang,100,640,2,1.2,1.6,56.43
1532,Large High Quality Post It Notes by Deep Office Supplies,Deep Office Supplies,88,422.4,1.5,0.9,1.2,39.37
1533,White High Quality Large Paperclips,6% Solution,540,3456,2,1.2,1.6,185.67
1534,Duck Lake High Quality Medium Blue Thumbtacks,Duck Lake,750,4800,2,1.2,1.6,145.48
1535,Duck Lake Large Generic White Stapler,Duck Lake,8,128,5,3,4,74.56
1536,White High Quality Small Thumbtacks,Offices-R-Us,230,1104,1.5,0.9,1.2,81.2
1537,Pink Small High Quality Post It Notes,Offices-R-Us,93,148.8,0.5,0.3,0.4,41.19
1538,High Quality White Small Tablets,6% Solution,400,3840,3,1.8,2.4,350.21
1539,High Quality Brown Medium Ink Pens by Deep Office Supplies,Deep Office Supplies,560,5376,3,1.8,2.4,235.65
1540,Generic Large Pink Thumbtacks by Deep Office Supplies,Deep Office Supplies,660,5280,2.5,1.5,2,225.47
1541,Duck Lake Large Generic Brown Paperclips,Duck Lake,330,2112,2,1.2,1.6,86.95
1542,Small Brown Generic Ink Pens by WizBang,WizBang,580,4640,2.5,1.5,2,199.55
1543,Generic Brown Medium Paperclips by WizBang,WizBang,520,2496,1.5,0.9,1.2,102.7
1544,Medium Black Generic Paperweights,6% Solution,8,102.4,4,2.4,3.2,29.36
1545,Tiny Black Stapler,6% Solution,6,67.2,3.5,2.1,2.8,55.98
1546,Blue Medium Tablets,6% Solution,230,2576,3.5,2.1,2.8,197.69
1547,High Quality Small Green Pencils,Offices-R-Us,570,3648,2,1.2,1.6,104.33
1548,Duck Lake Red Large High Quality Post It Notes,Duck Lake,43,206.4,1.5,0.9,1.2,11
1549,Duck Lake Pink High Quality Large Post It Notes,Duck Lake,22,105.6,1.5,0.9,1.2,15.35
1550,High Quality Medium Pencils by Deep Office Supplies,Deep Office Supplies,800,6400,2.5,1.5,2,212.41
1551,Green Generic Small Paperclips,Offices-R-Us,340,1088,1,0.6,0.8,32.22
1552,Red High Quality Large Post It Notes,6% Solution,30,144,1.5,0.9,1.2,8.12
1553,Small High Quality Tablets by Deep Office Supplies,Deep Office Supplies,270,2592,3,1.8,2.4,271.45
1554,Blue Generic Small Ink Pens,Offices-R-Us,240,1920,2.5,1.5,2,91.76
1555,Green High Quality Large Paperclips,6% Solution,860,5504,2,1.2,1.6,147.03
1556,Duck Lake Tiny White High Quality Ink Pens,Duck Lake,950,6080,2,1.2,1.6,342.23
1557,Pink Generic Stapler,6% Solution,5,56,3.5,2.1,2.8,48.52
1558,White Large Paperweights by WizBang,WizBang,1,14.4,4.5,2.7,3.6,4.93
1559,Duck Lake White Generic Tablets,Duck Lake,340,3264,3,1.8,2.4,295.56
1560,Duck Lake Small Brown Paperweights,Duck Lake,8,89.6,3.5,2.1,2.8,28.1
1561,Duck Lake Blue Medium High Quality Paperclips,Duck Lake,710,3408,1.5,0.9,1.2,128.56
1562,Tiny Black Ink Pens,6% Solution,290,1856,2,1.2,1.6,131.35
1563,Duck Lake Large Generic Red Stapler,Duck Lake,7,112,5,3,4,63.52
1564,Medium Brown Generic Post It Notes,Offices-R-Us,35,112,1,0.6,0.8,11.5
1565,Black Large Post It Notes,Offices-R-Us,31,148.8,1.5,0.9,1.2,14.45
1566,White Generic Medium Paperweights,6% Solution,5,64,4,2.4,3.2,19.86
1567,Duck Lake Generic Small Ink Pens,Duck Lake,260,2080,2.5,1.5,2,97.65
1568,Large Black High Quality Pencils by Deep Office Supplies,Deep Office Supplies,880,8448,3,1.8,2.4,283.61
1569,High Quality Medium Black Paperweights,6% Solution,8,102.4,4,2.4,3.2,30
1570,Duck Lake Generic Tiny Tablets,Duck Lake,450,3600,2.5,1.5,2,259.85
1571,Generic Blue Small Ink Pens,Offices-R-Us,440,3520,2.5,1.5,2,145.66
1572,Pink Generic Paperweights,Offices-R-Us,7,100.8,4.5,2.7,3.6,27.82
1573,Pink High Quality Medium Paperweights by Deep Office Supplies,Deep Office Supplies,3,38.4,4,2.4,3.2,13.18
1574,Duck Lake Brown Large High Quality Pencils,Duck Lake,480,4608,3,1.8,2.4,165.45
1575,Black Small Generic Ink Pens by WizBang,WizBang,670,5360,2.5,1.5,2,244.77
1576,Black High Quality Medium Ink Pens by WizBang,WizBang,620,5952,3,1.8,2.4,275.81
1577,Blue High Quality Post It Notes by Deep Office Supplies,Deep Office Supplies,35,168,1.5,0.9,1.2,13.76
1578,Large Pink High Quality Stapler by Deep Office Supplies,Deep Office Supplies,9,144,5,3,4,84.03
1579,High Quality Pink Large Ink Pens,Offices-R-Us,430,4816,3.5,2.1,2.8,261.67
1580,White Small Generic Ink Pens,Offices-R-Us,450,3600,2.5,1.5,2,200.64
1581,Brown High Quality Paperclips by Deep Office Supplies,Deep Office Supplies,480,768,0.5,0.3,0.4,78.46
1582,Small Black Generic Pencils,6% Solution,800,5120,2,1.2,1.6,185.89
1583,Medium High Quality Pink Thumbtacks,6% Solution,580,3712,2,1.2,1.6,205.44
1584,High Quality Green Small Stapler,Offices-R-Us,5,64,4,2.4,3.2,47.27
1585,Black Medium Generic Ink Pens,Offices-R-Us,860,8256,3,1.8,2.4,319.62
1586,Brown High Quality Tiny Post It Notes,6% Solution,37,59.2,0.5,0.3,0.4,9.69
1587,Duck Lake Generic Medium Brown Paperclips,Duck Lake,180,864,1.5,0.9,1.2,45.62
1588,Small Pink Generic Tablets,6% Solution,260,2496,3,1.8,2.4,252.1
1589,Tiny Blue Pencils by Deep Office Supplies,Deep Office Supplies,520,2496,1.5,0.9,1.2,97.57
1590,Tiny Generic Thumbtacks,6% Solution,690,2208,1,0.6,0.8,17.66
1591,Red Tiny High Quality Tablets by Deep Office Supplies,Deep Office Supplies,150,1200,2.5,1.5,2,118.56
1592,Generic Medium Pencils by Deep Office Supplies,Deep Office Supplies,110,880,2.5,1.5,2,52.52
1593,Blue Medium Post It Notes,Offices-R-Us,25,80,1,0.6,0.8,8.65
1594,Brown Small Paperweights by WizBang,WizBang,1,11.2,3.5,2.1,2.8,4.53
1595,Pink Generic Medium Stapler by WizBang,WizBang,5,72,4.5,2.7,3.6,49.36
1596,Generic Pink Small Ink Pens by WizBang,WizBang,360,2880,2.5,1.5,2,184.53
1597,Black High Quality Medium Ink Pens by WizBang,WizBang,430,4128,3,1.8,2.4,210.89
1598,Small High Quality Paperweights by WizBang,WizBang,7,78.4,3.5,2.1,2.8,25
1599,Small Green Paperclips by Deep Office Supplies,Deep Office Supplies,550,1760,1,0.6,0.8,66.4
1600,Duck Lake Large Generic Black Post It Notes,Duck Lake,79,379.2,1.5,0.9,1.2,31.58
1601,Duck Lake Generic Green Post It Notes,Duck Lake,77,123.2,0.5,0.3,0.4,4.79
1602,White High Quality Small Ink Pens,Offices-R-Us,760,6080,2.5,1.5,2,318.81
1603,Generic Small Green Ink Pens by WizBang,WizBang,360,2880,2.5,1.5,2,110.48
1604,Generic Black Small Thumbtacks by Deep Office Supplies,Deep Office Supplies,400,1920,1.5,0.9,1.2,92.02
1605,Tiny Brown Stapler by Deep Office Supplies,Deep Office Supplies,9,100.8,3.5,2.1,2.8,79.82
1606,Brown High Quality Tiny Paperweights by WizBang,WizBang,4,38.4,3,1.8,2.4,15.28
1607,Generic Tiny Red Ink Pens,6% Solution,370,2368,2,1.2,1.6,82.55
1608,Blue Small High Quality Pencils,Offices-R-Us,380,2432,2,1.2,1.6,92.7
1609,Red High Quality Paperclips by WizBang,WizBang,830,1328,0.5,0.3,0.4,34.61
1610,Pink Generic Medium Stapler by WizBang,WizBang,6,86.4,4.5,2.7,3.6,57.95
1611,Duck Lake Red Large High Quality Pencils,Duck Lake,200,1920,3,1.8,2.4,56.5
1612,Green Generic Medium Ink Pens by Deep Office Supplies,Deep Office Supplies,980,9408,3,1.8,2.4,258.04
1613,White Generic Medium Tablets by WizBang,WizBang,330,3696,3.5,2.1,2.8,302.79
1614,Red Small High Quality Stapler by WizBang,WizBang,7,89.6,4,2.4,3.2,62.95
1615,Large Brown Post It Notes,Offices-R-Us,78,374.4,1.5,0.9,1.2,31.25
1616,High Quality Tiny Green Paperclips,Offices-R-Us,400,640,0.5,0.3,0.4,36.43
1617,Generic Tiny Red Ink Pens,Offices-R-Us,490,3136,2,1.2,1.6,101.81
1618,High Quality Tiny Pink Pencils by WizBang,WizBang,440,2112,1.5,0.9,1.2,155.11
1619,Small High Quality Pink Stapler by WizBang,WizBang,2,25.6,4,2.4,3.2,21.9
1620,Pink High Quality Pencils by WizBang,WizBang,150,1440,3,1.8,2.4,89.87
1621,Generic Green Ink Pens,6% Solution,630,6048,3,1.8,2.4,189.43
1622,Brown Large Generic Tablets by WizBang,WizBang,370,4736,4,2.4,3.2,315.12
1623,Duck Lake Brown Small Generic Paperweights,Duck Lake,3,33.6,3.5,2.1,2.8,11.84
1624,Duck Lake Tiny Red Generic Stapler,Duck Lake,6,67.2,3.5,2.1,2.8,54.01
1625,Duck Lake Small Brown Generic Thumbtacks,Duck Lake,200,960,1.5,0.9,1.2,44.56
